,BTCPrice,bought,sold
0,6696.99,0.0,0.0
1,6691.54,6691.54,0.0
2,6709.05,6709.05,0.0
3,6704.99,0.0,6704.99
4,6706.0,6706.0,0.0
5,6696.61,6696.61,0.0
6,6689.99,6689.99,0.0
7,6649.01,6649.01,0.0
8,6668.99,6668.99,0.0
9,6632.36,6632.36,0.0
10,6600.85,0.0,6600.85
11,6609.99,6609.99,0.0
12,6577.52,0.0,6577.52
13,6623.99,6623.99,0.0
14,6616.37,6616.37,0.0
15,6606.97,6606.97,0.0
16,6602.28,6602.28,0.0
17,6606.05,6606.05,0.0
18,6639.61,6639.61,0.0
19,6635.83,0.0,6635.83
20,6618.72,0.0,6618.72
21,6625.0,0.0,6625.0
22,6616.0,6616.0,0.0
23,6595.12,6595.12,0.0
24,6582.09,6582.09,0.0
25,6510.06,6510.06,0.0
26,6429.29,0.0,6429.29
27,6420.0,0.0,6420.0
28,6460.0,0.0,6460.0
29,6456.51,6456.51,0.0
30,6457.8,0.0,6457.8
31,6420.57,0.0,6420.57
32,6376.65,6376.65,0.0
33,6404.59,0.0,6404.59
34,6409.99,0.0,0.0
35,6402.99,6402.99,0.0
36,6392.0,6392.0,0.0
37,6437.86,6437.86,0.0
38,6412.95,0.0,6412.95
39,6420.0,0.0,6420.0
40,6402.44,0.0,6402.44
41,6392.79,0.0,6392.79
42,6390.99,0.0,6390.99
43,6355.01,0.0,6355.01
44,6363.87,0.0,6363.87
45,6388.29,0.0,6388.29
46,6388.0,0.0,6388.0
47,6390.54,0.0,6390.54
48,6436.89,0.0,6436.89
49,6401.0,0.0,6401.0
50,6394.53,0.0,6394.53
51,6398.01,0.0,6398.01
52,6387.01,0.0,6387.01
53,6395.0,0.0,6395.0
54,6434.38,0.0,6434.38
55,6430.8,6430.8,0.0
56,6443.25,6443.25,0.0
57,6445.34,6445.34,0.0
58,6449.99,6449.99,0.0
59,6458.44,6458.44,0.0
60,6519.99,6519.99,0.0
61,6499.46,6499.46,0.0
62,6483.21,6483.21,0.0
63,6512.0,0.0,6512.0
64,6530.01,0.0,6530.01
65,6520.99,0.0,6520.99
66,6527.43,6527.43,0.0
67,6511.46,6511.46,0.0
68,6495.72,0.0,6495.72
69,6497.0,6497.0,0.0
70,6471.77,6471.77,0.0
71,6459.38,6459.38,0.0
72,6455.66,6455.66,0.0
73,6491.0,6491.0,0.0
74,6482.13,6482.13,0.0
75,6491.0,6491.0,0.0
76,6493.99,6493.99,0.0
77,6472.0,6472.0,0.0
78,6460.01,0.0,0.0
79,6465.0,6465.0,0.0
80,6451.59,6451.59,0.0
81,6455.0,6455.0,0.0
82,6456.87,6456.87,0.0
83,6460.92,6460.92,0.0
84,6478.01,6478.01,0.0
85,6497.27,6497.27,0.0
86,6497.27,0.0,6497.27
87,6506.5,0.0,6506.5
88,6487.01,6487.01,0.0
89,6495.32,6495.32,0.0
90,6500.01,6500.01,0.0
91,6509.99,6509.99,0.0
92,6662.83,0.0,6662.83
93,6695.0,6695.0,0.0
94,6715.0,6715.0,0.0
95,6671.51,0.0,0.0
96,6680.01,0.0,0.0
97,6696.12,0.0,6696.12
98,6710.11,0.0,6710.11
99,6697.2,0.0,0.0
100,6693.24,0.0,6693.24
101,6700.01,0.0,6700.01
102,6703.99,0.0,6703.99
103,6724.1,0.0,6724.1
104,6762.77,0.0,6762.77
105,6719.0,0.0,0.0
106,6643.52,0.0,6643.52
107,6637.01,0.0,6637.01
108,6644.87,6644.87,0.0
109,6585.19,6585.19,0.0
110,6635.82,6635.82,0.0
111,6649.08,6649.08,0.0
112,6654.94,0.0,6654.94
113,6643.0,0.0,6643.0
114,6642.54,6642.54,0.0
115,6636.99,0.0,0.0
116,6675.09,0.0,6675.09
117,6644.0,0.0,6644.0
118,6630.35,0.0,6630.35
119,6620.98,0.0,6620.98
120,6620.01,0.0,6620.01
121,6609.98,0.0,6609.98
122,6463.63,0.0,6463.63
123,6499.01,6499.01,0.0
124,6486.66,0.0,6486.66
125,6492.13,0.0,6492.13
126,6488.8,0.0,6488.8
127,6497.5,0.0,6497.5
128,6515.3,6515.3,0.0
129,6512.43,0.0,6512.43
130,6528.56,0.0,6528.56
131,6536.66,0.0,6536.66
132,6570.01,0.0,6570.01
133,6564.99,0.0,6564.99
134,6546.27,0.0,6546.27
135,6532.5,0.0,6532.5
136,6566.93,0.0,6566.93
137,6540.0,6540.0,0.0
138,6572.76,6572.76,0.0
139,6564.16,0.0,6564.16
140,6569.01,0.0,6569.01
141,6577.0,0.0,6577.0
142,6570.0,6570.0,0.0
143,6581.62,6581.62,0.0
144,6582.0,6582.0,0.0
145,6559.0,6559.0,0.0
146,6579.01,0.0,6579.01
147,6557.74,0.0,6557.74
148,6561.06,0.0,6561.06
149,6546.95,6546.95,0.0
150,6552.51,0.0,6552.51
151,6568.9,6568.9,0.0
152,6568.21,6568.21,0.0
153,6566.13,6566.13,0.0
154,6570.48,6570.48,0.0
155,6624.25,0.0,6624.25
156,6611.7,6611.7,0.0
157,6613.97,6613.97,0.0
158,6617.01,6617.01,0.0
159,6627.51,6627.51,0.0
160,6590.0,0.0,6590.0
161,6604.0,6604.0,0.0
162,6601.02,6601.02,0.0
163,6598.24,6598.24,0.0
164,6588.01,6588.01,0.0
165,6561.29,6561.29,0.0
166,6559.79,6559.79,0.0
